unix,low,high,open,close,volume,date,vol_fiat
1603497600,2.195,2.242,2.2196,2.2233,838471.72,2020-10-24,1864174.175076
1603411200,2.1653,2.268,2.1947,2.22,1239539.32,2020-10-23,2751777.2904000003
1603324800,2.1273,2.2482,2.1284,2.1949,1291746.02,2020-10-22,2835253.339298
1603238400,2.0428,2.18,2.0561,2.1251,1831186.63,2020-10-21,3891454.707413
1603152000,2.0387,2.1918,2.1903,2.0561,1814408.97,2020-10-20,3730606.2832169994
1603065600,2.176,2.2482,2.2289,2.189,868892.91,2020-10-19,1902006.5799900002
1602979200,2.1842,2.242,2.1875,2.2259,661720.52,2020-10-18,1472923.7054680001
1602892800,2.15,2.2223,2.1665,2.1874,753515.95,2020-10-17,1648240.7890299996
1602806400,2.1559,2.2779,2.239,2.166,1435183.52,2020-10-16,3108607.50432
1602720000,2.21,2.3073,2.2721,2.241,1266783.99,2020-10-15,2838862.92159
1602633600,2.237,2.4236,2.4032,2.2767,1716589.17,2020-10-14,3908158.5633389996
1602547200,2.319,2.4578,2.3458,2.4031,1973925.13,2020-10-13,4743539.4799029995
1602460800,2.2318,2.3895,2.2514,2.3451,2034257.94,2020-10-12,4770538.295094
1602374400,2.1876,2.3146,2.2058,2.2526,2318898.24,2020-10-11,5223550.175424001
1602288000,2.191,2.2844,2.2009,2.205,2378774.98,2020-10-10,5245198.8309
1602201600,2.075,2.24,2.1149,2.2017,2703249.82,2020-10-09,5951745.128694001
1602115200,2.0,2.15,2.0695,2.1145,2491604.65,2020-10-08,5268498.032425
1602028800,2.0319,2.1271,2.0578,2.0689,2381681.47,2020-10-07,4927460.793283001
1601942400,2.037,2.2475,2.1448,2.0577,2262116.45,2020-10-06,4654757.019165001
1601856000,2.08,2.1672,2.1122,2.1441,1000272.4,2020-10-05,2144684.05284
1601769600,2.0857,2.1522,2.1147,2.1146,1109288.64,2020-10-04,2345701.7581439996
1601683200,2.071,2.145,2.0884,2.1125,995639.21,2020-10-03,2103287.8311249996
1601596800,2.0159,2.2088,2.1892,2.088,2737450.71,2020-10-02,5715797.08248
1601510400,2.129,2.3,2.2009,2.1895,2035412.35,2020-10-01,4456535.340325
1601424000,2.1367,2.2365,2.231,2.1979,1319775.8,2020-09-30,2900735.23082
1601337600,2.1334,2.2803,2.245,2.2309,1786551.73,2020-09-29,3985618.254457
1601251200,2.1765,2.3668,2.1765,2.245,2290251.05,2020-09-28,5141613.607249999
1601164800,2.099,2.2259,2.1711,2.1763,1292229.96,2020-09-27,2812280.061948
1601078400,2.141,2.2414,2.2096,2.1706,1753090.76,2020-09-26,3805258.8036559997
1600992000,2.1,2.2795,2.1559,2.2104,2251189.71,2020-09-25,4976029.734983999
1600905600,1.9358,2.18,1.955,2.1554,2734284.35,2020-09-24,5893476.487990001
1600819200,1.9171,2.151,2.109,1.9569,4332065.07,2020-09-23,8477418.135483
1600732800,1.9635,2.1976,1.9733,2.1085,4217685.32,2020-09-22,8892989.49722
1600646400,1.9122,2.2707,2.2198,1.9728,5872521.3,2020-09-21,11585310.02064
1600560000,2.16,2.3896,2.3189,2.218,2932627.41,2020-09-20,6504567.59538
1600473600,2.2618,2.3913,2.3895,2.319,2861945.88,2020-09-19,6636852.49572
1600387200,2.3231,2.516,2.4726,2.3919,3638507.03,2020-09-18,8702944.965057
1600300800,2.4412,2.5626,2.4792,2.4704,1860989.9,2020-09-17,4597389.44896
1600214400,2.414,2.5377,2.507,2.4776,2280330.78,2020-09-16,5649747.540527999
1600128000,2.5004,2.6783,2.6155,2.5045,2014118.97,2020-09-15,5044360.960365
1600041600,2.5385,2.7016,2.6236,2.6129,1507891.58,2020-09-14,3939969.9093819996
1599955200,2.5304,2.7432,2.6013,2.6265,2174968.57,2020-09-13,5712554.949105
1599868800,2.4908,2.6385,2.5656,2.5998,1515542.45,2020-09-12,3940107.26151
1599782400,2.468,2.6286,2.5762,2.5583,1413367.16,2020-09-11,3615817.2054279996
1599696000,2.529,2.6655,2.529,2.5743,1992413.12,2020-09-10,5129069.094816
1599609600,2.4117,2.6,2.497,2.5295,2264722.97,2020-09-09,5728616.752615001
1599523200,2.4003,2.648,2.5677,2.4986,3729246.01,2020-09-08,9317894.080586
1599436800,2.3581,2.59,2.5494,2.5638,3056800.89,2020-09-07,7837026.121782
1599350400,2.338,2.6332,2.481,2.5502,3226095.09,2020-09-06,8227187.698517999
1599264000,2.3177,2.8311,2.791,2.4853,6235000.23,2020-09-05,15495846.071619002
1599177600,2.4111,2.8574,2.5806,2.7958,5561958.06,2020-09-04,15550122.344147999
